species,distance_to_sister,divergence_time
albicans,23.7427503159456,0.67955
alborufescens,14.1596430298424,10.93239
amnicola,14.9382216486403,2.62148
angelana,6.42165648317083,3.29153
argyrophylla,9.77548707738177,1.43837
atlantica,2.91250256335527,4.41058
baumgratziana,3.35204720839132,2.4293
brunnea,5.27304780312449,0.97078
budlejoides,6.09439139608801,4.24525
burchellii,5.67690955925784,1.05555
capixaba,2.45848906550716,4.08538
castaneiflora,2.64044301249781,2.81281
chrysophylla,10.3025589808561,0.90885
cinerascens,4.5243310754916,4.41583
cipoensis,1.70221764864907,8.56953
corallina,3.12615366078652,1.20225
cowanii,14.9382216486403,2.62148
cubatanensis,5.98437578157288,3.15149
cyathanthera,1.70221764864907,8.56953
dichrophylla,10.3025589808561,0.90885
discolor,6.09439139608801,4.24525
dispar,17.234458127704,4.23374
dura,2.91250256335527,4.41058
fallax,14.9287829855099,9.53366
fasciculata,3.40921584406575,3.26778
ferruginata,5.67690955925784,1.05555
flammea,5.22123761923653,0.57691
formosa,4.5243310754916,4.41583
heliotropoides,9.02994477956949,7.45612
hyemalis,3.81399945717662,0.99216
hypoleuca,16.342351165974,6.9878
kollmannii,0.900549044750734,4.00818
kriegeriana,2.19618899070276,0.85955
lepidota,22.7407655625609,1.36567
longispicata,5.88232910333812,10.85485
lourteigiana,23.7427503159456,0.67955
lymanii,3.81399945717662,0.99216
macrothyrsa,9.02994477956949,7.45612
macuxi,8.34383461288375,4.8396
mayarae,9.77548707738177,1.43837
mellina,16.6317075138971,8.37958
multispicata,26.226628486394,6.26071
navioensis,13.645112252055,4.44756
octopetala,2.45848906550716,4.08538
penduliflora,4.04714134611185,3.65637
pepericarpa,5.7714595211242,4.7767
petroniana,2.95620883745814,1.97987
polyandra,2.19618899070276,0.85955
pterocaulon,15.9537233751214,6.31753
punctata,12.0370881825247,4.76812
racemifera,3.40921584406575,3.26778
robusta,3.94468822126928,1.48598
rondoniensis,22.1161177950797,4.31489
rufescens,14.8473324743341,4.84062
ruficalyx,19.5263990630127,3.66009
ruschiana,3.35204720839132,2.4293
sclerophylla,3.12615366078652,1.20225
secundiflora,14.9850191834666,1.65735
serialis,14.9850191834666,1.65735
setosociliata,5.98437578157288,3.15149
shepherdii,2.95620883745814,1.97987
stenostachya,21.1904628173257,7.51608
suberosa,5.88232910333812,10.85485
tiliifolia,14.8473324743341,4.84062
valtheri,22.1161177950797,4.31489
willdenowii,5.22123761923653,0.57691
