lnlik,n_par
const,-338.053242831333,3
linear,-337.250683625302,4
sigm,-338.053093660575,6
const1,-341.736186166107,3
linear1,-341.003986278036,4
sigm1,-341.735875012273,6
const2,-356.552546277928,3
linear2,-355.918493712158,4
sigm2,-356.552444660582,6
const3,-324.216862832552,3
linear3,-323.267827223274,4
sigm3,-324.216173091261,6
const4,-365.044082390239,3
linear4,-364.425240253635,4
sigm4,-362.366114601862,6
const5,-347.755432937683,3
linear5,-347.019161151848,4
sigm5,-347.754254616815,6
const6,-329.45778802954,3
linear6,-328.883772881437,4
sigm6,-329.457302686126,6
const7,-334.400098321677,3
linear7,-334.105999483235,4
sigm7,-334.399491433181,6
const8,-346.252697370673,3
linear8,-345.907887101249,4
sigm8,-346.06972655389,6
const9,-340.07090093589,3
linear9,-339.512271440729,4
sigm9,-340.068926504051,6
const10,-328.050341159929,3
linear10,-327.419240854835,4
sigm10,-328.049662553911,6
const11,-330.29284310691,3
linear11,-329.676045350519,4
sigm11,-330.292264139293,6
const12,-333.015322526112,3
linear12,-332.528520946938,4
sigm12,-333.013177381259,6
const13,-341.382923456874,3
linear13,-340.276754925718,4
sigm13,-341.231219988042,6
const14,-358.469072675097,3
linear14,-357.773607293314,4
sigm14,-358.468889574806,6
const15,-330.571833476659,3
linear15,-329.848233999107,4
sigm15,-330.571298877426,6
const16,-336.903899656914,3
linear16,-336.844867767335,4
sigm16,-336.903878281451,6
const17,-330.096242672117,3
linear17,-329.602758718405,4
sigm17,-330.095559172395,6
const18,-349.721621716978,3
linear18,-349.11949655472,4
sigm18,-349.721396448978,6
const19,-324.306042318737,3
linear19,-323.79206132407,4
sigm19,-324.306037793042,6
const20,-328.190822542168,3
linear20,-328.035461791944,4
sigm20,-328.190513343308,6
const21,-333.37122127992,3
linear21,-331.809757454851,4
sigm21,-333.370901642803,6
const22,-321.446557211278,3
linear22,-320.978256964679,4
sigm22,-321.44577134411,6
const23,-327.349847121912,3
linear23,-326.974795804212,4
sigm23,-327.184793592019,6
