species,sister_divergence
albicans,0.67955
alborufescens,10.93239
amnicola,2.62148
argyrophylla,1.43837
atlantica,4.41058
baumgratziana,2.4293
brunnea,0.97078
budlejoides,4.24525
burchellii,1.05555
castaneiflora,2.81281
chrysophylla,0.90885
cinerascens,4.41583
cipoensis,8.56953
corallina,1.20225
cowanii,2.62148
cubatanensis,3.15149
cyathanthera,8.56953
dichrophylla,0.90885
discolor,4.24525
dispar,4.23374
fallax,9.53366
fasciculata,3.26778
ferruginata,1.05555
flammea,0.57691
formosa,4.41583
heliotropoides,7.45612
hyemalis,0.99216
hypoleuca,6.9878
lepidota,1.36567
longispicata,10.85485
lourteigiana,0.67955
lymanii,0.99216
macrothyrsa,7.45612
macuxi,4.8396
mayarae,1.43837
mellina,8.37958
multispicata,6.26071
navioensis,4.44756
octopetala,4.08538
pepericarpa,4.7767
petroniana,1.97987
polyandra,0.85955
pterocaulon,6.31753
punctata,4.76812
racemifera,3.26778
robusta,1.48598
rondoniensis,4.31489
rufescens,4.84062
ruficalyx,3.66009
ruschiana,2.4293
sclerophylla,1.20225
secundiflora,1.65735
serialis,1.65735
setosociliata,3.15149
shepherdii,1.97987
stenostachya,7.51608
tiliifolia,4.84062
valtheri,4.31489
willdenowii,0.57691
suberosa,10.85485
angelana,3.29153
capixaba,4.08538
dura,4.41058
kollmannii,4.00818
penduliflora,3.65637
kriegeriana,0.85955
