species,distance_to_sister
albicans,2584.6261970337
alborufescens,1548.08436628026
amnicola,1651.22717200762
argyrophylla,1082.26654937343
atlantica,304.95114604851
baumgratziana,361.623149464046
brunnea,567.0932494898
budlejoides,639.694159600667
burchellii,617.009559700978
castaneiflora,277.859048212494
chrysophylla,1140.37952574842
cinerascens,475.439545794318
cipoensis,187.712220237552
corallina,344.487437322397
cowanii,1651.22717200762
cubatanensis,633.932568241033
cyathanthera,187.712220237552
dichrophylla,1140.37952574842
discolor,639.694159600667
dispar,1888.411563416
fallax,1635.40427478295
fasciculata,359.386899777707
ferruginata,617.009559700978
flammea,559.456695293467
formosa,475.439545794318
heliotropoides,983.202624904213
hyemalis,404.975163129381
hypoleuca,1785.61589603003
lepidota,2499.53410336686
longispicata,653.621813819044
lourteigiana,2584.6261970337
lymanii,404.975163129381
macrothyrsa,983.202624904213
macuxi,925.535509269192
mayarae,1082.26654937343
mellina,1820.53731227659
multispicata,2872.56850165751
navioensis,1514.99200643684
octopetala,267.426497301108
pepericarpa,621.971637594244
petroniana,310.177470834924
polyandra,239.577727943944
pterocaulon,1768.93501129121
punctata,1330.23559829471
racemifera,359.386899777707
robusta,417.497390341512
rondoniensis,2392.11425244465
rufescens,1639.30380978942
ruficalyx,2144.10440784049
ruschiana,361.623149464046
sclerophylla,344.487437322397
secundiflora,1660.95934228933
serialis,1660.95934228933
setosociliata,633.932568241033
shepherdii,310.177470834924
stenostachya,2333.31005851125
tiliifolia,1639.30380978942
valtheri,2392.11425244465
willdenowii,559.456695293467
suberosa,653.621813819044
angelana,697.88649024648
capixaba,267.426497301108
dura,304.95114604851
kollmannii,98.8791194895258
penduliflora,433.667732861002
kriegeriana,239.577727943944
